"Data Source","World Development Indicators",

"Last Updated Date","2022-12-22",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021",
"East Asia & Pacific","EAS","Number of deaths ages 15-19 years","SH.DTH.1519","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","213299","203068","192599","182491","173681","166284","159836","154018","149734","146535","144764","143337","143067","142658","151580","136599","130273","122592","120992","107450","101536","97224","92711","89388","86504","83891","81633","79353","77121","74871","72673","",
"Europe & Central Asia (excluding high income)","ECA","Number of deaths ages 15-19 years","SH.DTH.1519","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","33088","34125","38191","40350","39885","39909","36557","36048","35969","37262","35680","34778","33341","31633","30097","28788","27387","25454","23307","21206","19565","18052","16802","15793","15105","14280","13780","12933","12420","12084","12221","",
"Europe & Central Asia","ECS","Number of deaths ages 15-19 years","SH.DTH.1519","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","53951","54399","57561","58943","57756","57205","53346","52443","51944","52741","50600","49133","47139","44892","42847","41042","39175","36739","34014","31246","28889","26697","24863","23383","22340","21248","20566","19582","18969","18539","18587","",
"Ecuador","ECU","Number of deaths ages 15-19 years","SH.DTH.1519","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1313","1293","1278","1272","1278","1299","1329","1367","1403","1424","1423","1401","1366","1329","1303","1295","1302","1319","1341","1358","1362","1344","1302","1248","1194","1151","1118","1092","1065","1034","997","",
"Egypt, Arab Rep.","EGY","Number of deaths ages 15-19 years","SH.DTH.1519","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6414","6092","5899","5851","5941","6086","6215","6282","6282","6248","6244","6307","6427","6505","6462","6301","6062","5813","5655","5643","5735","5868","5965","5950","5815","5684","5668","5801","6011","6230","6413","",
"Euro area","EMU","Number of deaths ages 15-19 years","SH.DTH.1519","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","13348","12850","12243","11631","11075","10622","10289","10049","9821","9557","9232","8858","8431","7975","7524","7091","6713","6350","5988","5624","5266","4934","4638","4388","4203","4065","3971","3898","3838","3774","3715","",
"Eritrea","ERI","Number of deaths ages 15-19 years","SH.DTH.1519","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","980","926","875","832","802","789","781","784","797","818","844","880","911","937","948","940","905","862","814","767","723","674","630","595","572","564","562","567","578","593","612","",
"Spain","ESP","Number of deaths ages 15-19 years","SH.DTH.1519","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2195","2050","1858","1680","1543","1449","1400","1368","1324","1260","1189","1125","1063","1005","947","888","837","779","710","633","559","497","450","418","400","392","391","390","385","377","370","",
"Estonia","EST","Number of deaths ages 15-19 years","SH.DTH.1519","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","127","129","128","124","118","109","101","95","89","85","83","81","80","78","76","72","66","59","52","45","39","35","31","28","26","24","23","22","22","21","21","",
"Ethiopia","ETH","Number of deaths ages 15-19 years","SH.DTH.1519","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","30404","28779","29754","30503","31001","31378","31680","31923","32015","34505","31540","30680","29836","29001","28305","27754","27253","26820","26420","26072","25692","25213","24725","24200","23560","22950","22361","21932","21588","21195","20828","",
"European Union","EUU","Number of deaths ages 15-19 years","SH.DTH.1519","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","18865","18450","17707","17060","16426","15884","15367","14944","14496","13979","13403","12804","12236","11713","11234","10769","10321","9851","9324","8736","8122","7539","7025","6589","6252","5997","5816","5675","5562","5460","5370","",
